customer_id,full_name,phone_number,age,district,subscription_plan,registration_date,is_fraud,credit_score
VF-000001,Amira Mohamed Hassan,1086149359,41,Nasr City - Zone 8,Prepaid Plus,8/6/2025,0,368.6
VF-000002,Ayman Fathi Abdel-Aziz,1038427073,28,Nasr City - Zone 8,Postpaid Business,7/9/2022,0,496.2
VF-000003,Doaa Magdy Rida,1088961459,25,Nasr City - Zone 7,Prepaid Plus,9/29/2026,0,436.7
VF-000004,Sara Magdy Farouk,1086644106,35,Nasr City - El Mirghany,Prepaid Plus,11/24/2022,0,292.6
VF-000005,Salma Farouk Rida,1055540424,64,Nasr City - Zone 1,Prepaid Basic,7/31/2025,1,481.8
VF-000006,Mona Ali Rida,1082556484,69,Nasr City - Mostafa El-Nahas,Prepaid Basic,8/21/2025,0,656.5
VF-000007,Adel Ramadan Abdullah,1071070189,28,Nasr City - El Zahraa,Prepaid Basic,9/25/2023,0,385.6
VF-000008,Hussein Abdallah Abdullah,1088406989,55,Nasr City - Mostafa El-Nahas,Prepaid Basic,2/29/2024,0,240
VF-000009,Hossam Ali Qasim,1089795010,33,Nasr City - El Zahraa,prepaid basic,9/23/2022,0,372.4
VF-000010,Mona Omar Salamah,1019736572,26,Nasr City - Zone 8,postpaid business,2/24/2024,0,850.3
VF-000011,Sara Abdel Zidan,1092097999,36,Nasr City - Zone 3,Postpaid 200,11/16/2022,0,692.5
VF-000012,Khaled Omar Hassan,1038270233,24,Nasr City - Mostafa El-Nahas,Prepaid Plus,5/24/2024,0,397.2
VF-000013,Ali Farouk Khalil,1095511909,35,Nasr City - Zone 1,Prepaid Basic,1/19/2024,0,739.8
VF-000014,Bassam Ahmed Khalil,1015614174,41,Nasr City - Abbas El-Akkad,Postpaid Business,2/2/2025,0,500.9
VF-000015,Ayman Ibrahim Zidan,1041774346,,Nasr City - Mostafa El-Nahas,Postpaid 200,6/10/2022,0,724.6
VF-000016,Salma Abdel Gamal,1039854548,28,Nasr City - Zone 2,Postpaid 200,9/14/2025,0,801
VF-000017,Karim Gamal Gamal,1081969657,22,Nasr City - Zone 8,Postpaid 100,4/29/2022,0,556.6
VF-000018,Omar Farouk Zidan,1025521714,,Nasr City - Zone 10,Postpaid 200,7/10/2022,0,889
VF-000019,Walid Farouk Ibrahim,1026726926,60,Nasr City - Zone 10,Postpaid Business,2/29/2024,0,664.4
VF-000020,Youssef Farouk Qasim,1083542887,42,Nasr City - Zone 3,Postpaid Business,9/24/2022,0,410.7
VF-000021,Doaa Abdallah Badawi,1094951883,48,Nasr City - Zone 3,Prepaid Basic,4/30/2024,0,560.8
VF-000022,Mohamed Ahmed Farouk,1094525678,48,Nasr City - Abbas El-Akkad,Prepaid Basic,5/15/2023,0,490.1
VF-000023,Hany Farouk Farouk,1026288475,29,Nasr City - Mostafa El-Nahas,Postpaid 200,8/22/2025,0,590.2
VF-000024,Eman Magdy Mansour,1043183955,53,Nasr City - El Mirghany,Prepaid Plus,4/5/2023,0,515
VF-000025,Mona Omar El-Masry,1061410126,38,Nasr City - Mostafa El-Nahas,Prepaid Basic,2/22/2025,0,305.6
VF-000026,Essam Farouk Salamah,1010791358,67,Nasr City - Abbas El-Akkad,Prepaid Basic,9/10/2022,0,466.3
VF-000027,Nader Abdel Gamal,1064266464,45,Nasr City - El Mirghany,Prepaid Basic,9/28/2023,1,435.3
VF-000028,Ali Farouk Ali,1038408562,47,Nasr City - Zone 3,Prepaid Basic,6/18/2024,0,465.4
VF-000029,Nader Mohamed Hanafi,1097477029,52,Nasr City - Zone 1,Postpaid 100,8/30/2024,0,655.1
VF-000030,Mariam Abdallah Rida,1025372341,62,Nasr City - Zone 8,Postpaid 100,12/24/2024,0,624.1
VF-000031,Yasmin Abdallah Ibrahim,1090585882,55,Nasr City - Zone 7,Prepaid Basic,1/5/2022,0,740.7
VF-000032,Majed Gamal Mahmoud,1095306788,44,Nasr City - El Mirghany,Prepaid Basic,6/29/2023,0,872.6
VF-000033,Doaa Farouk Khalil,1021631697,64,Nasr City - Abbas El-Akkad,Postpaid 100,2/11/2024,0,796.2
VF-000034,Noha Mahmoud Shahatah,1090014570,31,Nasr City - Zone 10,Postpaid 100,5/19/2026,0,395.8
VF-000035,Ashraf Fathi Awad,1039742165,63,Nasr City - El Mirghany,Postpaid 200,10/28/2025,0,265.1
VF-000036,Aya Salah Gamal,1052352128,37,Nasr City - Zone 8,Prepaid Plus,3/30/2025,0,704.9
VF-000037,Mariam Abdallah El-Sharkawi,1081690398,32,Nasr City - Zone 10,Prepaid Plus,3/23/2024,0,209.9
VF-000038,Mariam Mohamed Helmy,1016895666,36,Nasr City - El Mirghany,Postpaid 200,6/14/2023,0,438.5
VF-000039,Khaled Hassan Ramadan,1065857931,54,Nasr City - Zone 8,Prepaid Basic,7/12/2024,0,282.9
VF-000040,Reem Ahmed Morsy,1098641164,65,Nasr City - Zone 2,Prepaid Plus,5/31/2022,0,347.7
VF-000041,Reem Ahmed Farouk,1045507920,36,Nasr City - Zone 8,Postpaid 200,7/10/2025,0,681.2
VF-000042,Hassan Hassan Ibrahim,1086397676,21,Nasr City - Zone 3,Postpaid 100,8/2/2022,0,724.3
VF-000043,Doaa Ali Morsy,1022257687,,Nasr City - El Zahraa,Postpaid 100,7/15/2022,0,375.3
VF-000044,Shimaa Ahmed El-Gazzar,1047333543,66,Nasr City - Zone 3,Postpaid 200,1/5/2023,0,656.1
VF-000045,Noha Ibrahim El-Banna,1098930456,28,Nasr City - Zone 10,Postpaid 200,1/12/2022,0,546.8
VF-000046,Nada Mohamed Qasim,1058557203,52,Nasr City - El Mirghany,Postpaid 200,8/13/2025,0,331.3
VF-000047,Doaa Fathi Hassan,1083932360,19,Nasr City - Abbas El-Akkad,PostPaid 200,12/10/2021,0,310.9
VF-000048,Nader Sayed Badawi,1042713008,63,Nasr City - Zone 8,Postpaid 200,3/20/2023,0,886.2
VF-000049,Hassan Farouk El-Masry,1050071487,68,Nasr City - Mostafa El-Nahas,Postpaid 100,11/27/2025,0,398
VF-000050,Rania Lotfy Salamah,1061401477,47,Nasr City - Zone 10,Prepaid Plus,1/4/2022,0,367.2
VF-000051,Ghada Hassan Shahatah,1023470708,20,Nasr City - Zone 3,Postpaid Business,8/12/2022,0,432.4
VF-000052,Ali Fathi Ramadan,1020779739,34,Nasr City - Zone 10,Postpaid Business,1/14/2022,0,478.2
VF-000053,Rania Ahmed Morsy,1068246664,22,Nasr City - Zone 7,Postpaid 100,8/24/2024,0,722.7
VF-000054,Ahmed Gamal Ramadan,1042775624,21,Nasr City - Zone 8,Postpaid 100,10/27/2023,1,501.5
VF-000055,Nader Hassan Farouk,1072445234,47,Nasr City - Zone 8,Postpaid 200,6/28/2024,0,666.8
VF-000056,Heba Salah El-Banna,1061185849,37,Nasr City - Zone 7,Postpaid 200,3/19/2023,0,274.7
VF-000057,Fatima Ahmed Morsy,1057287718,65,Nasr City - El Mirghany,Postpaid 100,8/18/2024,0,624.9
VF-000058,Sherif Ibrahim Awad,1058970845,59,Nasr City - Zone 1,Postpaid 100,6/14/2023,0,223.4
VF-000059,Nada Magdy Gamal,1055461591,28,Nasr City - Zone 8,Postpaid 200,4/7/2024,0,722.6
VF-000060,Rania Nabil Ibrahim,1071040347,68,Nasr City - El Zahraa,Prepaid Basic,6/9/2024,0,575.6
VF-000061,Nader Mohamed Morsy,1095282470,53,Nasr City - Zone 10,Postpaid Business,9/5/2024,0,653.4
VF-000062,Amira Ibrahim Hassan,1099991136,33,Nasr City - Mostafa El-Nahas,Prepaid Plus,9/29/2023,0,517.6
VF-000063,Essam Fathi Morsy,1069509870,44,Nasr City - Zone 8,Prepaid Basic,1/19/2022,0,459.4
VF-000064,Nour Ramadan Gamal,1096128115,30,Nasr City - Zone 2,Postpaid 200,5/29/2025,0,663.9
