customer_id,full_name,phone_number,age,district,subscription_plan,registration_date,is_fraud,credit_score,plan_price_egp,plan_data_gb,plan_call_minutes,age_group,credit_score_group,registration_year,registration_month,plan_price,credit_category
VF-000001,Amira Mohamed Hassan,1086149359,41,Nasr City - Zone 8,Prepaid 50,2025-06-08,0,368,50,5,100,36-50,Poor (<500),2025,6,50,Poor
VF-000002,Ayman Fathi Abdel-Aziz,1038427073,28,Nasr City - Zone 8,Prepaid 100,2022-09-07,0,496,100,15,300,26-35,Poor (<500),2022,9,100,Poor
VF-000003,Doaa Magdy Rida,1088961459,25,Nasr City - Zone 7,Student Plan,2023-05-12,0,436,80,20,200,18-25,Poor (<500),2023,5,80,Poor
VF-000004,Sara Magdy Farouk,1086644106,35,Nasr City - El Mirghany,Student Plan,2023-03-19,0,526,80,20,200,26-35,Poor (<500),2023,3,80,Fair
VF-000005,Salma Farouk Rida,1055540424,64,Nasr City - Zone 1,Prepaid 100,2024-06-22,1,481,100,15,300,50+,Poor (<500),2024,6,100,Poor
VF-000006,Mona Ali Rida,1082556484,69,Nasr City - Mostafa El-Nahas,Postpaid 250,2020-06-26,0,656,250,50,1000,50+,Good (650-750),2020,6,250,Good
VF-000007,Adel Ramadan Abdullah,1071070189,28,Nasr City - El Zahraa,Student Plan,2020-07-24,0,385,80,20,200,26-35,Poor (<500),2020,7,80,Poor
VF-000008,Hussein Abdallah Abdullah,1088406989,55,Nasr City - Mostafa El-Nahas,Prepaid 100,2020-02-20,0,638,100,15,300,50+,Poor (<500),2020,2,100,Fair
VF-000009,Hossam Ali Qasim,1089795010,33,Nasr City - El Zahraa,Student Plan,2022-03-27,0,372,80,20,200,26-35,Poor (<500),2022,3,80,Poor
VF-000010,Mona Omar Salamah,1019736572,26,Nasr City - Zone 8,Family Plan,2024-10-27,0,796,300,80,1500,26-35,,2024,10,300,Excellent
VF-000011,Sara Abdel Zidan,1092097999,36,Nasr City - Zone 3,Family Plan,2025-04-28,0,692,300,80,1500,36-50,Good (650-750),2025,4,300,Good
VF-000012,Khaled Omar Hassan,1038270233,24,Nasr City - Mostafa El-Nahas,Student Plan,2021-02-10,0,397,80,20,200,18-25,Poor (<500),2021,2,80,Poor
VF-000013,Ali Farouk Khalil,1095511909,35,Nasr City - Zone 1,Family Plan,2023-01-17,0,739,300,80,1500,26-35,Good (650-750),2023,1,300,Good
VF-000014,Bassam Ahmed Khalil,1015614174,41,Nasr City - Abbas El-Akkad,Postpaid 150,2025-02-02,0,500,150,25,500,36-50,Fair (500-650),2025,2,150,Poor
VF-000015,Ayman Ibrahim Zidan,1041774346,36,Nasr City - Mostafa El-Nahas,Postpaid 250,2022-10-06,0,724,250,50,1000,36-50,Good (650-750),2022,10,250,Good
VF-000016,Salma Abdel Gamal,1039854548,28,Nasr City - Zone 2,Postpaid 400,2023-11-23,0,801,400,100,2000,26-35,Excellent (750+),2023,11,400,Excellent
VF-000017,Karim Gamal Gamal,1081969657,22,Nasr City - Zone 8,Postpaid 150,2024-03-16,0,556,150,25,500,18-25,Fair (500-650),2024,3,150,Fair
VF-000018,Omar Farouk Zidan,1025521714,47,Nasr City - Zone 10,Unlimited Premium,2022-10-07,0,699,800,-1,-1,36-50,,2022,10,800,Good
VF-000019,Walid Farouk Ibrahim,1026726926,60,Nasr City - Zone 10,Family Plan,2022-10-20,0,664,300,80,1500,50+,Good (650-750),2022,10,300,Good
VF-000020,Youssef Farouk Qasim,1083542887,42,Nasr City - Zone 3,Prepaid 50,2026-04-16,0,410,50,5,100,36-50,Poor (<500),2026,4,50,Poor
